area,contentType,action,department,week,month,count,
Stream,P,R,Good,3/9/2014,2014-03,3764,
Spring,P,R,Franklin,10/27/2013,2013-10,3743,
,A,R,Morrison,12/1/2013,2013-12,3708,
,A,R,Kishwaukee,4/6/2014,2014-04,3707,
Forest,P,R,Fayette,5/18/2014,2014-05,3697,
,A,C,Good,3/30/2014,2014-04,3678,
Arch,P,R,Fairfield,2/16/2014,2014-02,3671,
Oilfield,P,R,Good,6/23/2013,2013-06,3658,
,A,R,Harrisburg,9/8/2013,2013-09,3648,
Spring,P,R,Franklin,2/23/2014,2014-02,3646,
Locale,P,R,Good,1/26/2014,2014-01,3639,
Mine,P,R,Institute,7/14/2013,2013-07,3634,
Ridge,P,R,Graham,4/13/2014,2014-04,3633,
Stream,P,R,Good,11/17/2013,2013-11,3622,
,A,R,Kirby,1/12/2014,2014-01,3578,
Channel,P,U,Good,12/15/2013,2013-12,3573,
,A,C,Good,2/23/2014,2014-02,3570,
,A,R,Kishwaukee,6/23/2013,2013-06,3560,
Stream,P,R,Good,1/26/2014,2014-01,3557,
